Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.5,"0.672 (0.630, 0.630)","0.893 (0.889, 0.889)","0.277 (0.195, 0.195)","0.909 (0.906, 0.906)","0.071 (0.053, 0.053)",AlloSure
0.51,"0.672 (0.630, 0.630)","0.894 (0.891, 0.891)","0.267 (0.171, 0.171)","0.910 (0.908, 0.908)","0.069 (0.052, 0.052)",AlloSure
0.52,"0.672 (0.630, 0.630)","0.896 (0.893, 0.893)","0.263 (0.171, 0.171)","0.912 (0.910, 0.910)","0.069 (0.052, 0.052)",AlloSure
0.53,"0.672 (0.630, 0.630)","0.898 (0.895, 0.895)","0.249 (0.171, 0.171)","0.914 (0.912, 0.912)","0.067 (0.049, 0.049)",AlloSure
0.54,"0.672 (0.630, 0.630)","0.899 (0.897, 0.897)","0.245 (0.171, 0.171)","0.916 (0.915, 0.915)","0.067 (0.050, 0.050)",AlloSure
0.55,"0.672 (0.630, 0.630)","0.901 (0.900, 0.900)","0.240 (0.171, 0.171)","0.918 (0.916, 0.916)","0.068 (0.051, 0.051)",AlloSure
0.56,"0.672 (0.630, 0.630)","0.902 (0.902, 0.902)","0.240 (0.171, 0.171)","0.919 (0.918, 0.918)","0.069 (0.053, 0.053)",AlloSure
0.5700000000000001,"0.672 (0.630, 0.630)","0.904 (0.903, 0.903)","0.240 (0.171, 0.171)","0.921 (0.918, 0.918)","0.070 (0.054, 0.054)",AlloSure
0.58,"0.672 (0.630, 0.630)","0.905 (0.904, 0.904)","0.240 (0.171, 0.171)","0.922 (0.920, 0.920)","0.071 (0.055, 0.055)",AlloSure
0.59,"0.672 (0.630, 0.630)","0.906 (0.905, 0.905)","0.235 (0.146, 0.146)","0.923 (0.921, 0.921)","0.071 (0.050, 0.050)",AlloSure
0.6,"0.672 (0.630, 0.630)","0.907 (0.905, 0.905)","0.225 (0.146, 0.146)","0.924 (0.922, 0.922)","0.069 (0.051, 0.051)",AlloSure
