Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.88,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.89,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.670 (0.640, 0.640)","0.064 (0.062, 0.062)","0.980 (0.967, 0.967)","0.044 (0.042, 0.042)","0.023 (0.021, 0.021)",AlloSure
0.01,"0.670 (0.640, 0.640)","0.129 (0.129, 0.129)","0.939 (0.934, 0.934)","0.110 (0.110, 0.110)","0.023 (0.021, 0.021)",AlloSure
0.02,"0.670 (0.640, 0.640)","0.212 (0.206, 0.206)","0.910 (0.898, 0.898)","0.196 (0.188, 0.188)","0.025 (0.023, 0.023)",AlloSure
0.03,"0.670 (0.640, 0.640)","0.301 (0.288, 0.288)","0.882 (0.862, 0.862)","0.288 (0.273, 0.273)","0.027 (0.026, 0.026)",AlloSure
0.04,"0.670 (0.640, 0.640)","0.380 (0.365, 0.365)","0.790 (0.755, 0.755)","0.371 (0.355, 0.355)","0.028 (0.026, 0.026)",AlloSure
0.05,"0.670 (0.640, 0.640)","0.452 (0.443, 0.443)","0.756 (0.721, 0.721)","0.445 (0.436, 0.436)","0.030 (0.027, 0.027)",AlloSure
0.06,"0.670 (0.640, 0.640)","0.512 (0.493, 0.493)","0.705 (0.635, 0.635)","0.508 (0.491, 0.491)","0.031 (0.029, 0.029)",AlloSure
0.07,"0.670 (0.640, 0.640)","0.562 (0.551, 0.551)","0.684 (0.615, 0.615)","0.559 (0.551, 0.551)","0.034 (0.031, 0.031)",AlloSure
0.08,"0.670 (0.640, 0.640)","0.604 (0.595, 0.595)","0.628 (0.596, 0.596)","0.604 (0.593, 0.593)","0.035 (0.032, 0.032)",AlloSure
0.09,"0.670 (0.640, 0.640)","0.642 (0.632, 0.632)","0.603 (0.577, 0.577)","0.643 (0.636, 0.636)","0.037 (0.035, 0.035)",AlloSure
0.1,"0.670 (0.640, 0.640)","0.672 (0.664, 0.664)","0.581 (0.519, 0.519)","0.674 (0.667, 0.667)","0.039 (0.036, 0.036)",AlloSure
0.11,"0.670 (0.640, 0.640)","0.696 (0.688, 0.688)","0.569 (0.481, 0.481)","0.699 (0.693, 0.693)","0.041 (0.037, 0.037)",AlloSure
0.12,"0.670 (0.640, 0.640)","0.715 (0.709, 0.709)","0.558 (0.481, 0.481)","0.719 (0.715, 0.715)","0.043 (0.038, 0.038)",AlloSure
0.13,"0.670 (0.640, 0.640)","0.732 (0.729, 0.729)","0.549 (0.481, 0.481)","0.737 (0.731, 0.731)","0.045 (0.041, 0.041)",AlloSure
0.14,"0.670 (0.640, 0.640)","0.747 (0.743, 0.743)","0.523 (0.442, 0.442)","0.752 (0.746, 0.746)","0.045 (0.040, 0.040)",AlloSure
0.15,"0.670 (0.640, 0.640)","0.761 (0.757, 0.757)","0.511 (0.442, 0.442)","0.767 (0.761, 0.761)","0.047 (0.043, 0.043)",AlloSure
0.16,"0.670 (0.640, 0.640)","0.774 (0.770, 0.770)","0.505 (0.423, 0.423)","0.780 (0.776, 0.776)","0.049 (0.045, 0.045)",AlloSure
0.17,"0.670 (0.640, 0.640)","0.783 (0.782, 0.782)","0.486 (0.404, 0.404)","0.790 (0.787, 0.787)","0.050 (0.044, 0.044)",AlloSure
0.18,"0.670 (0.640, 0.640)","0.793 (0.790, 0.790)","0.462 (0.385, 0.385)","0.801 (0.797, 0.797)","0.050 (0.043, 0.043)",AlloSure
0.19,"0.670 (0.640, 0.640)","0.802 (0.798, 0.798)","0.450 (0.346, 0.346)","0.810 (0.807, 0.807)","0.051 (0.044, 0.044)",AlloSure
0.2,"0.670 (0.640, 0.640)","0.811 (0.808, 0.808)","0.446 (0.344, 0.344)","0.819 (0.816, 0.816)","0.053 (0.047, 0.047)",AlloSure
0.21,"0.670 (0.640, 0.640)","0.817 (0.815, 0.815)","0.412 (0.311, 0.311)","0.827 (0.823, 0.823)","0.051 (0.044, 0.044)",AlloSure
0.22,"0.670 (0.640, 0.640)","0.822 (0.822, 0.822)","0.390 (0.262, 0.262)","0.832 (0.830, 0.830)","0.050 (0.039, 0.039)",AlloSure
0.23,"0.670 (0.640, 0.640)","0.830 (0.828, 0.828)","0.382 (0.262, 0.262)","0.840 (0.837, 0.837)","0.051 (0.040, 0.040)",AlloSure
0.24,"0.670 (0.640, 0.640)","0.835 (0.833, 0.833)","0.371 (0.250, 0.250)","0.845 (0.842, 0.842)","0.051 (0.039, 0.039)",AlloSure
0.25,"0.670 (0.640, 0.640)","0.839 (0.836, 0.836)","0.367 (0.250, 0.250)","0.850 (0.846, 0.846)","0.052 (0.040, 0.040)",AlloSure
0.26,"0.670 (0.640, 0.640)","0.844 (0.841, 0.841)","0.360 (0.250, 0.250)","0.855 (0.852, 0.852)","0.053 (0.039, 0.039)",AlloSure
0.27,"0.670 (0.640, 0.640)","0.848 (0.845, 0.845)","0.349 (0.250, 0.250)","0.859 (0.856, 0.856)","0.053 (0.038, 0.038)",AlloSure
0.28,"0.670 (0.640, 0.640)","0.851 (0.848, 0.848)","0.342 (0.250, 0.250)","0.863 (0.861, 0.861)","0.053 (0.039, 0.039)",AlloSure
0.29,"0.670 (0.640, 0.640)","0.855 (0.851, 0.851)","0.335 (0.250, 0.250)","0.866 (0.865, 0.865)","0.053 (0.040, 0.040)",AlloSure
0.3,"0.670 (0.640, 0.640)","0.857 (0.855, 0.855)","0.323 (0.250, 0.250)","0.869 (0.870, 0.870)","0.053 (0.040, 0.040)",AlloSure
0.31,"0.670 (0.640, 0.640)","0.860 (0.857, 0.857)","0.323 (0.250, 0.250)","0.872 (0.873, 0.873)","0.054 (0.042, 0.042)",AlloSure
0.32,"0.670 (0.640, 0.640)","0.863 (0.859, 0.859)","0.319 (0.250, 0.250)","0.875 (0.876, 0.876)","0.054 (0.042, 0.042)",AlloSure
0.33,"0.670 (0.640, 0.640)","0.866 (0.862, 0.862)","0.316 (0.250, 0.250)","0.879 (0.878, 0.878)","0.055 (0.044, 0.044)",AlloSure
0.34,"0.670 (0.640, 0.640)","0.869 (0.866, 0.866)","0.313 (0.250, 0.250)","0.882 (0.880, 0.880)","0.056 (0.045, 0.045)",AlloSure
0.35000000000000003,"0.670 (0.640, 0.640)","0.871 (0.866, 0.866)","0.306 (0.250, 0.250)","0.884 (0.882, 0.882)","0.056 (0.046, 0.046)",AlloSure
0.36,"0.670 (0.640, 0.640)","0.874 (0.869, 0.869)","0.303 (0.250, 0.250)","0.887 (0.884, 0.884)","0.057 (0.047, 0.047)",AlloSure
0.37,"0.670 (0.640, 0.640)","0.877 (0.871, 0.871)","0.303 (0.250, 0.250)","0.890 (0.888, 0.888)","0.058 (0.048, 0.048)",AlloSure
0.38,"0.670 (0.640, 0.640)","0.879 (0.873, 0.873)","0.303 (0.250, 0.250)","0.892 (0.890, 0.890)","0.059 (0.049, 0.049)",AlloSure
0.39,"0.670 (0.640, 0.640)","0.881 (0.876, 0.876)","0.303 (0.250, 0.250)","0.895 (0.893, 0.893)","0.060 (0.050, 0.050)",AlloSure
0.4,"0.670 (0.640, 0.640)","0.883 (0.877, 0.877)","0.294 (0.250, 0.250)","0.896 (0.895, 0.895)","0.060 (0.050, 0.050)",AlloSure
0.41000000000000003,"0.670 (0.640, 0.640)","0.884 (0.880, 0.880)","0.294 (0.250, 0.250)","0.898 (0.897, 0.897)","0.061 (0.051, 0.051)",AlloSure
0.42,"0.670 (0.640, 0.640)","0.886 (0.882, 0.882)","0.294 (0.250, 0.250)","0.900 (0.898, 0.898)","0.062 (0.052, 0.052)",AlloSure
0.43,"0.670 (0.640, 0.640)","0.888 (0.883, 0.883)","0.294 (0.250, 0.250)","0.901 (0.901, 0.901)","0.063 (0.053, 0.053)",AlloSure
0.44,"0.670 (0.640, 0.640)","0.890 (0.885, 0.885)","0.291 (0.250, 0.250)","0.903 (0.903, 0.903)","0.063 (0.055, 0.055)",AlloSure
0.45,"0.670 (0.640, 0.640)","0.891 (0.886, 0.886)","0.272 (0.212, 0.212)","0.905 (0.904, 0.904)","0.060 (0.048, 0.048)",AlloSure
0.46,"0.670 (0.640, 0.640)","0.893 (0.888, 0.888)","0.272 (0.212, 0.212)","0.907 (0.907, 0.907)","0.061 (0.049, 0.049)",AlloSure
0.47000000000000003,"0.670 (0.640, 0.640)","0.895 (0.889, 0.889)","0.269 (0.212, 0.212)","0.909 (0.908, 0.908)","0.062 (0.051, 0.051)",AlloSure
0.48,"0.670 (0.640, 0.640)","0.896 (0.891, 0.891)","0.269 (0.212, 0.212)","0.911 (0.910, 0.910)","0.063 (0.052, 0.052)",AlloSure
0.49,"0.670 (0.640, 0.640)","0.897 (0.893, 0.893)","0.262 (0.212, 0.212)","0.912 (0.912, 0.912)","0.062 (0.050, 0.050)",AlloSure
0.5,"0.670 (0.640, 0.640)","0.899 (0.895, 0.895)","0.262 (0.212, 0.212)","0.913 (0.913, 0.913)","0.063 (0.051, 0.051)",AlloSure
0.51,"0.670 (0.640, 0.640)","0.900 (0.895, 0.895)","0.254 (0.192, 0.192)","0.915 (0.914, 0.914)","0.062 (0.048, 0.048)",AlloSure
0.52,"0.670 (0.640, 0.640)","0.901 (0.897, 0.897)","0.251 (0.192, 0.192)","0.916 (0.915, 0.915)","0.062 (0.049, 0.049)",AlloSure
0.53,"0.670 (0.640, 0.640)","0.903 (0.898, 0.898)","0.240 (0.192, 0.192)","0.918 (0.917, 0.917)","0.061 (0.050, 0.050)",AlloSure
0.54,"0.670 (0.640, 0.640)","0.904 (0.898, 0.898)","0.237 (0.192, 0.192)","0.919 (0.918, 0.918)","0.061 (0.052, 0.052)",AlloSure
0.55,"0.670 (0.640, 0.640)","0.906 (0.901, 0.901)","0.233 (0.184, 0.184)","0.921 (0.919, 0.919)","0.062 (0.048, 0.048)",AlloSure
0.56,"0.670 (0.640, 0.640)","0.907 (0.902, 0.902)","0.233 (0.184, 0.184)","0.923 (0.919, 0.919)","0.063 (0.049, 0.049)",AlloSure
0.5700000000000001,"0.670 (0.640, 0.640)","0.908 (0.904, 0.904)","0.233 (0.184, 0.184)","0.924 (0.922, 0.922)","0.064 (0.049, 0.049)",AlloSure
0.58,"0.670 (0.640, 0.640)","0.910 (0.907, 0.907)","0.233 (0.184, 0.184)","0.925 (0.922, 0.922)","0.065 (0.050, 0.050)",AlloSure
0.59,"0.670 (0.640, 0.640)","0.911 (0.908, 0.908)","0.229 (0.173, 0.173)","0.926 (0.923, 0.923)","0.064 (0.051, 0.051)",AlloSure
0.6,"0.670 (0.640, 0.640)","0.911 (0.909, 0.909)","0.222 (0.173, 0.173)","0.927 (0.925, 0.925)","0.064 (0.051, 0.051)",AlloSure
