Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.0,"0.663 (0.635, 0.635)","0.063 (0.061, 0.061)","0.979 (0.977, 0.977)","0.042 (0.041, 0.041)","0.021 (0.019, 0.019)",AlloSure,0.663,0.063,0.979,0.042,0.021
0.01,"0.663 (0.635, 0.635)","0.126 (0.123, 0.123)","0.965 (0.955, 0.955)","0.107 (0.106, 0.106)","0.021 (0.021, 0.021)",AlloSure,0.663,0.126,0.965,0.107,0.021
0.02,"0.663 (0.635, 0.635)","0.214 (0.208, 0.208)","0.947 (0.910, 0.910)","0.196 (0.195, 0.195)","0.023 (0.022, 0.022)",AlloSure,0.663,0.214,0.947,0.196,0.023
0.03,"0.663 (0.635, 0.635)","0.311 (0.297, 0.297)","0.896 (0.894, 0.894)","0.296 (0.285, 0.285)","0.025 (0.024, 0.024)",AlloSure,0.663,0.311,0.896,0.296,0.025
0.04,"0.663 (0.635, 0.635)","0.385 (0.381, 0.381)","0.773 (0.766, 0.766)","0.374 (0.373, 0.373)","0.026 (0.024, 0.024)",AlloSure,0.663,0.385,0.773,0.374,0.026
0.05,"0.663 (0.635, 0.635)","0.456 (0.447, 0.447)","0.727 (0.725, 0.725)","0.451 (0.441, 0.441)","0.028 (0.025, 0.025)",AlloSure,0.663,0.456,0.727,0.451,0.028
0.06,"0.663 (0.635, 0.635)","0.516 (0.506, 0.506)","0.686 (0.667, 0.667)","0.514 (0.502, 0.502)","0.030 (0.026, 0.026)",AlloSure,0.663,0.516,0.686,0.514,0.03
0.07,"0.663 (0.635, 0.635)","0.562 (0.552, 0.552)","0.647 (0.636, 0.636)","0.561 (0.550, 0.550)","0.031 (0.028, 0.028)",AlloSure,0.663,0.562,0.647,0.561,0.031
0.08,"0.663 (0.635, 0.635)","0.606 (0.594, 0.594)","0.614 (0.608, 0.608)","0.606 (0.594, 0.594)","0.032 (0.029, 0.029)",AlloSure,0.663,0.606,0.614,0.606,0.032
0.09,"0.663 (0.635, 0.635)","0.643 (0.635, 0.635)","0.591 (0.588, 0.588)","0.644 (0.636, 0.636)","0.034 (0.031, 0.031)",AlloSure,0.663,0.643,0.591,0.644,0.034
0.1,"0.663 (0.635, 0.635)","0.680 (0.663, 0.663)","0.569 (0.568, 0.568)","0.682 (0.665, 0.665)","0.036 (0.033, 0.033)",AlloSure,0.663,0.68,0.569,0.682,0.036
0.11,"0.663 (0.635, 0.635)","0.702 (0.689, 0.689)","0.569 (0.568, 0.568)","0.704 (0.693, 0.693)","0.039 (0.036, 0.036)",AlloSure,0.663,0.702,0.569,0.704,0.039
0.12,"0.663 (0.635, 0.635)","0.721 (0.709, 0.709)","0.568 (0.549, 0.549)","0.724 (0.714, 0.714)","0.040 (0.039, 0.039)",AlloSure,0.663,0.721,0.568,0.724,0.04
0.13,"0.663 (0.635, 0.635)","0.736 (0.729, 0.729)","0.549 (0.545, 0.545)","0.740 (0.735, 0.735)","0.043 (0.039, 0.039)",AlloSure,0.663,0.736,0.549,0.74,0.043
0.14,"0.663 (0.635, 0.635)","0.752 (0.743, 0.743)","0.500 (0.490, 0.490)","0.756 (0.749, 0.749)","0.040 (0.038, 0.038)",AlloSure,0.663,0.752,0.5,0.756,0.04
0.15,"0.663 (0.635, 0.635)","0.766 (0.757, 0.757)","0.477 (0.471, 0.471)","0.772 (0.764, 0.764)","0.041 (0.039, 0.039)",AlloSure,0.663,0.766,0.477,0.772,0.041
0.16,"0.663 (0.635, 0.635)","0.778 (0.772, 0.772)","0.477 (0.471, 0.471)","0.783 (0.779, 0.779)","0.043 (0.042, 0.042)",AlloSure,0.663,0.778,0.477,0.783,0.043
0.17,"0.663 (0.635, 0.635)","0.786 (0.784, 0.784)","0.471 (0.432, 0.432)","0.793 (0.791, 0.791)","0.045 (0.040, 0.040)",AlloSure,0.663,0.786,0.471,0.793,0.045
0.18,"0.663 (0.635, 0.635)","0.795 (0.792, 0.792)","0.471 (0.432, 0.432)","0.803 (0.800, 0.800)","0.047 (0.042, 0.042)",AlloSure,0.663,0.795,0.471,0.803,0.047
0.19,"0.663 (0.635, 0.635)","0.803 (0.803, 0.803)","0.451 (0.432, 0.432)","0.812 (0.812, 0.812)","0.048 (0.043, 0.043)",AlloSure,0.663,0.803,0.451,0.812,0.048
0.2,"0.663 (0.635, 0.635)","0.814 (0.814, 0.814)","0.451 (0.409, 0.409)","0.823 (0.823, 0.823)","0.050 (0.043, 0.043)",AlloSure,0.663,0.814,0.451,0.823,0.05
