Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.17,"0.659 (0.602, 0.602)","0.767 (0.755, 0.755)","0.478 (0.375, 0.375)","0.776 (0.764, 0.764)","0.061 (0.036, 0.036)",AlloSure
0.18,"0.659 (0.602, 0.602)","0.777 (0.764, 0.764)","0.472 (0.375, 0.375)","0.786 (0.773, 0.773)","0.063 (0.038, 0.038)",AlloSure
0.19,"0.659 (0.602, 0.602)","0.786 (0.777, 0.777)","0.460 (0.375, 0.375)","0.796 (0.786, 0.786)","0.064 (0.040, 0.040)",AlloSure
0.2,"0.659 (0.602, 0.602)","0.796 (0.784, 0.784)","0.453 (0.375, 0.375)","0.806 (0.795, 0.795)","0.067 (0.041, 0.041)",AlloSure
0.21,"0.659 (0.602, 0.602)","0.800 (0.788, 0.788)","0.408 (0.333, 0.333)","0.812 (0.799, 0.799)","0.062 (0.038, 0.038)",AlloSure
0.22,"0.659 (0.602, 0.602)","0.805 (0.793, 0.793)","0.397 (0.333, 0.333)","0.817 (0.804, 0.804)","0.062 (0.039, 0.039)",AlloSure
0.23,"0.659 (0.602, 0.602)","0.812 (0.795, 0.795)","0.389 (0.292, 0.292)","0.824 (0.812, 0.812)","0.063 (0.038, 0.038)",AlloSure
0.24,"0.659 (0.602, 0.602)","0.817 (0.800, 0.800)","0.385 (0.292, 0.292)","0.830 (0.819, 0.819)","0.064 (0.039, 0.039)",AlloSure
0.25,"0.659 (0.602, 0.602)","0.822 (0.806, 0.806)","0.385 (0.292, 0.292)","0.835 (0.826, 0.826)","0.066 (0.040, 0.040)",AlloSure
0.26,"0.659 (0.602, 0.602)","0.826 (0.815, 0.815)","0.385 (0.292, 0.292)","0.839 (0.836, 0.836)","0.068 (0.041, 0.041)",AlloSure
0.27,"0.659 (0.602, 0.602)","0.831 (0.819, 0.819)","0.374 (0.292, 0.292)","0.844 (0.841, 0.841)","0.068 (0.042, 0.042)",AlloSure
0.28,"0.659 (0.602, 0.602)","0.834 (0.824, 0.824)","0.374 (0.292, 0.292)","0.848 (0.844, 0.844)","0.069 (0.043, 0.043)",AlloSure
0.29,"0.659 (0.602, 0.602)","0.837 (0.828, 0.828)","0.369 (0.292, 0.292)","0.850 (0.847, 0.847)","0.069 (0.043, 0.043)",AlloSure
0.3,"0.659 (0.602, 0.602)","0.840 (0.833, 0.833)","0.356 (0.289, 0.289)","0.854 (0.852, 0.852)","0.069 (0.043, 0.043)",AlloSure
0.31,"0.659 (0.602, 0.602)","0.842 (0.839, 0.839)","0.356 (0.289, 0.289)","0.857 (0.856, 0.856)","0.070 (0.044, 0.044)",AlloSure
0.32,"0.659 (0.602, 0.602)","0.845 (0.843, 0.843)","0.350 (0.289, 0.289)","0.860 (0.859, 0.859)","0.071 (0.045, 0.045)",AlloSure
0.33,"0.659 (0.602, 0.602)","0.848 (0.845, 0.845)","0.346 (0.267, 0.267)","0.863 (0.861, 0.861)","0.071 (0.046, 0.046)",AlloSure
0.34,"0.659 (0.602, 0.602)","0.851 (0.851, 0.851)","0.339 (0.267, 0.267)","0.866 (0.863, 0.863)","0.071 (0.047, 0.047)",AlloSure
0.35000000000000003,"0.659 (0.602, 0.602)","0.852 (0.852, 0.852)","0.333 (0.267, 0.267)","0.868 (0.868, 0.868)","0.071 (0.047, 0.047)",AlloSure
0.36,"0.659 (0.602, 0.602)","0.854 (0.854, 0.854)","0.333 (0.267, 0.267)","0.870 (0.871, 0.871)","0.072 (0.048, 0.048)",AlloSure
0.37,"0.659 (0.602, 0.602)","0.856 (0.856, 0.856)","0.333 (0.267, 0.267)","0.872 (0.872, 0.872)","0.073 (0.049, 0.049)",AlloSure
0.38,"0.659 (0.602, 0.602)","0.858 (0.858, 0.858)","0.333 (0.267, 0.267)","0.874 (0.873, 0.873)","0.074 (0.050, 0.050)",AlloSure
0.39,"0.659 (0.602, 0.602)","0.861 (0.859, 0.859)","0.333 (0.267, 0.267)","0.877 (0.878, 0.878)","0.076 (0.051, 0.051)",AlloSure
0.4,"0.659 (0.602, 0.602)","0.863 (0.862, 0.862)","0.325 (0.250, 0.250)","0.879 (0.879, 0.879)","0.076 (0.044, 0.044)",AlloSure
0.41000000000000003,"0.659 (0.602, 0.602)","0.864 (0.866, 0.866)","0.325 (0.250, 0.250)","0.881 (0.879, 0.879)","0.077 (0.045, 0.045)",AlloSure
0.42,"0.659 (0.602, 0.602)","0.865 (0.867, 0.867)","0.325 (0.250, 0.250)","0.882 (0.880, 0.880)","0.077 (0.045, 0.045)",AlloSure
0.43,"0.659 (0.602, 0.602)","0.867 (0.869, 0.869)","0.325 (0.250, 0.250)","0.884 (0.882, 0.882)","0.079 (0.045, 0.045)",AlloSure
0.44,"0.659 (0.602, 0.602)","0.870 (0.872, 0.872)","0.318 (0.250, 0.250)","0.886 (0.885, 0.885)","0.079 (0.047, 0.047)",AlloSure
0.45,"0.659 (0.602, 0.602)","0.871 (0.874, 0.874)","0.306 (0.250, 0.250)","0.888 (0.889, 0.889)","0.078 (0.047, 0.047)",AlloSure
0.46,"0.659 (0.602, 0.602)","0.873 (0.875, 0.875)","0.306 (0.250, 0.250)","0.890 (0.891, 0.891)","0.079 (0.049, 0.049)",AlloSure
0.47000000000000003,"0.659 (0.602, 0.602)","0.875 (0.879, 0.879)","0.297 (0.250, 0.250)","0.892 (0.894, 0.894)","0.079 (0.043, 0.043)",AlloSure
0.48,"0.659 (0.602, 0.602)","0.877 (0.880, 0.880)","0.297 (0.250, 0.250)","0.894 (0.896, 0.896)","0.080 (0.044, 0.044)",AlloSure
0.49,"0.659 (0.602, 0.602)","0.877 (0.880, 0.880)","0.291 (0.250, 0.250)","0.895 (0.898, 0.898)","0.079 (0.044, 0.044)",AlloSure
0.5,"0.659 (0.602, 0.602)","0.879 (0.880, 0.880)","0.291 (0.250, 0.250)","0.896 (0.899, 0.899)","0.080 (0.045, 0.045)",AlloSure
0.51,"0.659 (0.602, 0.602)","0.880 (0.880, 0.880)","0.276 (0.208, 0.208)","0.898 (0.901, 0.901)","0.078 (0.044, 0.044)",AlloSure
0.52,"0.659 (0.602, 0.602)","0.881 (0.881, 0.881)","0.270 (0.208, 0.208)","0.900 (0.902, 0.902)","0.078 (0.045, 0.045)",AlloSure
0.53,"0.659 (0.602, 0.602)","0.884 (0.886, 0.886)","0.251 (0.208, 0.208)","0.902 (0.905, 0.905)","0.075 (0.046, 0.046)",AlloSure
0.54,"0.659 (0.602, 0.602)","0.885 (0.887, 0.887)","0.246 (0.208, 0.208)","0.904 (0.907, 0.907)","0.074 (0.047, 0.047)",AlloSure
