Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.89,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.000 (0.000, 0.016)","1.000 (1.000, 1.000)","0.000 (0.000, 1.000)",Model
0.9,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.000 (0.000, 0.016)","1.000 (1.000, 1.000)","0.000 (0.000, 1.000)",Model
0.91,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.650 (0.629, 0.707)","0.070 (0.062, 0.071)","0.967 (0.964, 0.971)","0.045 (0.043, 0.049)","0.023 (0.021, 0.025)",AlloSure
0.01,"0.650 (0.629, 0.707)","0.134 (0.124, 0.135)","0.926 (0.920, 0.929)","0.112 (0.107, 0.115)","0.024 (0.022, 0.026)",AlloSure
0.02,"0.650 (0.629, 0.707)","0.219 (0.206, 0.224)","0.882 (0.882, 0.900)","0.201 (0.191, 0.207)","0.025 (0.023, 0.028)",AlloSure
0.03,"0.650 (0.629, 0.707)","0.304 (0.297, 0.313)","0.860 (0.852, 0.868)","0.288 (0.284, 0.299)","0.026 (0.026, 0.030)",AlloSure
0.04,"0.650 (0.629, 0.707)","0.379 (0.375, 0.393)","0.770 (0.765, 0.780)","0.367 (0.366, 0.383)","0.026 (0.025, 0.031)",AlloSure
0.05,"0.650 (0.629, 0.707)","0.451 (0.450, 0.463)","0.745 (0.740, 0.754)","0.444 (0.441, 0.457)","0.029 (0.028, 0.035)",AlloSure
0.06,"0.650 (0.629, 0.707)","0.513 (0.507, 0.517)","0.661 (0.640, 0.738)","0.510 (0.505, 0.510)","0.030 (0.027, 0.039)",AlloSure
0.07,"0.650 (0.629, 0.707)","0.564 (0.555, 0.568)","0.661 (0.627, 0.738)","0.558 (0.554, 0.566)","0.034 (0.029, 0.044)",AlloSure
0.08,"0.650 (0.629, 0.707)","0.606 (0.600, 0.607)","0.643 (0.549, 0.676)","0.604 (0.601, 0.606)","0.036 (0.029, 0.045)",AlloSure
0.09,"0.650 (0.629, 0.707)","0.639 (0.636, 0.643)","0.607 (0.520, 0.676)","0.639 (0.639, 0.642)","0.037 (0.030, 0.049)",AlloSure
0.1,"0.650 (0.629, 0.707)","0.671 (0.666, 0.675)","0.589 (0.500, 0.662)","0.675 (0.668, 0.676)","0.039 (0.031, 0.053)",AlloSure
0.11,"0.650 (0.629, 0.707)","0.693 (0.687, 0.698)","0.571 (0.490, 0.662)","0.697 (0.691, 0.699)","0.041 (0.034, 0.057)",AlloSure
0.12,"0.650 (0.629, 0.707)","0.709 (0.708, 0.720)","0.554 (0.480, 0.647)","0.714 (0.713, 0.722)","0.042 (0.034, 0.060)",AlloSure
0.13,"0.650 (0.629, 0.707)","0.726 (0.726, 0.737)","0.554 (0.480, 0.632)","0.732 (0.731, 0.740)","0.044 (0.036, 0.063)",AlloSure
