Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.5700000000000001,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.58,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.59,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.6,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.61,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.62,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.63,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.64,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.65,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.66,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.67,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.68,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.6900000000000001,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.7000000000000001,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.71,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.72,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.73,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.74,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.75,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.76,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.77,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.78,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.79,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.8,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.81,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.8200000000000001,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.8300000000000001,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.84,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.85,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.86,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.87,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.88,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.89,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.9,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.91,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.92,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.93,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.9400000000000001,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.9500000000000001,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.96,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.97,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.98,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.99,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
1.0,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
1.01,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.0,"0.664 (0.625, 0.625)","0.024 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.024 (0.021, 0.021)",Logistic Regression w/ rej,0.664,0.024,1.0,0.0,0.024
0.01,"0.664 (0.625, 0.625)","0.150 (0.148, 0.148)","0.854 (0.830, 0.830)","0.133 (0.131, 0.131)","0.023 (0.023, 0.023)",Logistic Regression w/ rej,0.664,0.15,0.854,0.133,0.023
0.02,"0.664 (0.625, 0.625)","0.163 (0.161, 0.161)","0.854 (0.830, 0.830)","0.146 (0.145, 0.145)","0.023 (0.022, 0.022)",Logistic Regression w/ rej,0.664,0.163,0.854,0.146,0.023
0.03,"0.664 (0.625, 0.625)","0.941 (0.928, 0.928)","0.344 (0.245, 0.245)","0.958 (0.942, 0.942)","0.141 (0.125, 0.125)",Logistic Regression w/ rej,0.664,0.941,0.344,0.958,0.141
0.04,"0.664 (0.625, 0.625)","0.958 (0.948, 0.948)","0.295 (0.244, 0.244)","0.971 (0.964, 0.964)","0.185 (0.182, 0.182)",Logistic Regression w/ rej,0.664,0.958,0.295,0.971,0.185
0.05,"0.664 (0.625, 0.625)","0.960 (0.953, 0.953)","0.261 (0.244, 0.244)","0.975 (0.970, 0.970)","0.203 (0.186, 0.186)",Logistic Regression w/ rej,0.664,0.96,0.261,0.975,0.203
0.06,"0.664 (0.625, 0.625)","0.961 (0.956, 0.956)","0.246 (0.244, 0.244)","0.979 (0.973, 0.973)","0.211 (0.197, 0.197)",Logistic Regression w/ rej,0.664,0.961,0.246,0.979,0.211
0.07,"0.664 (0.625, 0.625)","0.962 (0.958, 0.958)","0.226 (0.220, 0.220)","0.980 (0.974, 0.974)","0.213 (0.200, 0.200)",Logistic Regression w/ rej,0.664,0.962,0.226,0.98,0.213
0.08,"0.664 (0.625, 0.625)","0.965 (0.960, 0.960)","0.213 (0.196, 0.196)","0.982 (0.977, 0.977)","0.214 (0.188, 0.188)",Logistic Regression w/ rej,0.664,0.965,0.213,0.982,0.214
0.09,"0.664 (0.625, 0.625)","0.973 (0.967, 0.967)","0.109 (0.098, 0.098)","0.991 (0.989, 0.989)","0.208 (0.190, 0.190)",Logistic Regression w/ rej,0.664,0.973,0.109,0.991,0.208
0.1,"0.664 (0.625, 0.625)","0.975 (0.970, 0.970)","0.073 (0.043, 0.043)","0.997 (0.993, 0.993)","0.222 (0.217, 0.217)",Logistic Regression w/ rej,0.664,0.975,0.073,0.997,0.222
0.11,"0.664 (0.625, 0.625)","0.975 (0.970, 0.970)","0.043 (0.038, 0.038)","0.998 (0.996, 0.996)","0.286 (0.167, 0.167)",Logistic Regression w/ rej,0.664,0.975,0.043,0.998,0.286
0.12,"0.664 (0.625, 0.625)","0.975 (0.972, 0.972)","0.022 (0.019, 0.019)","0.998 (0.997, 0.997)","0.214 (0.200, 0.200)",Logistic Regression w/ rej,0.664,0.975,0.022,0.998,0.214
0.13,"0.664 (0.625, 0.625)","0.975 (0.972, 0.972)","0.022 (0.000, 0.000)","0.999 (0.998, 0.998)","0.231 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.975,0.022,0.999,0.231
0.14,"0.664 (0.625, 0.625)","0.975 (0.972, 0.972)","0.022 (0.000, 0.000)","0.999 (0.998, 0.998)","0.231 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.975,0.022,0.999,0.231
0.15,"0.664 (0.625, 0.625)","0.975 (0.972, 0.972)","0.022 (0.000, 0.000)","0.999 (0.998, 0.998)","0.231 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.975,0.022,0.999,0.231
0.16,"0.664 (0.625, 0.625)","0.975 (0.973, 0.973)","0.022 (0.000, 0.000)","0.999 (0.998, 0.998)","0.222 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.975,0.022,0.999,0.222
0.17,"0.664 (0.625, 0.625)","0.976 (0.973, 0.973)","0.022 (0.000, 0.000)","1.000 (0.998, 0.998)","0.222 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.222
0.18,"0.664 (0.625, 0.625)","0.976 (0.973, 0.973)","0.022 (0.000, 0.000)","1.000 (0.998, 0.998)","0.222 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.222
0.19,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.022 (0.000, 0.000)","1.000 (0.998, 0.998)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.25
0.2,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.022 (0.000, 0.000)","1.000 (0.998, 0.998)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.25
0.21,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.022 (0.000, 0.000)","1.000 (0.999, 0.999)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.25
0.22,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.022 (0.000, 0.000)","1.000 (0.999, 0.999)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.25
0.23,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.022 (0.000, 0.000)","1.000 (0.999, 0.999)","0.286 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.286
0.24,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.022 (0.000, 0.000)","1.000 (0.999, 0.999)","0.286 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.286
0.25,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.022 (0.000, 0.000)","1.000 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.333
0.26,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.022 (0.000, 0.000)","1.000 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.333
0.27,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.022 (0.000, 0.000)","1.000 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.022,1.0,0.333
0.28,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.29,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.3,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.31,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.32,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.33,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.34,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.35000000000000003,"0.664 (0.625, 0.625)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.36,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.37,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.38,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.39,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.4,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.41000000000000003,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.42,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.43,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.44,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.45,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.46,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.47000000000000003,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.48,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.49,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.5,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.51,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.52,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.53,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.54,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.55,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.56,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.5700000000000001,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.58,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.59,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.6,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.61,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.62,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.63,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.64,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.65,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.66,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.67,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.68,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.6900000000000001,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.7000000000000001,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.71,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.72,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.73,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.74,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.75,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.76,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.77,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
0.78,"0.664 (0.625, 0.625)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.976,0.0,1.0,0.0
