Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.09,"0.633 (0.601, 0.601)","0.699 (0.692, 0.692)","0.476 (0.415, 0.415)","0.703 (0.696, 0.696)","0.030 (0.023, 0.023)",AlloSure
0.1,"0.633 (0.601, 0.601)","0.732 (0.720, 0.720)","0.453 (0.414, 0.414)","0.737 (0.725, 0.725)","0.033 (0.026, 0.026)",AlloSure
0.11,"0.633 (0.601, 0.601)","0.755 (0.747, 0.747)","0.449 (0.414, 0.414)","0.761 (0.752, 0.752)","0.035 (0.029, 0.029)",AlloSure
0.12,"0.633 (0.601, 0.601)","0.776 (0.765, 0.765)","0.432 (0.367, 0.367)","0.782 (0.771, 0.771)","0.037 (0.031, 0.031)",AlloSure
0.13,"0.633 (0.601, 0.601)","0.792 (0.782, 0.782)","0.421 (0.367, 0.367)","0.799 (0.789, 0.789)","0.039 (0.031, 0.031)",AlloSure
0.14,"0.633 (0.601, 0.601)","0.807 (0.796, 0.796)","0.396 (0.333, 0.333)","0.815 (0.804, 0.804)","0.040 (0.034, 0.034)",AlloSure
0.15,"0.633 (0.601, 0.601)","0.821 (0.809, 0.809)","0.380 (0.333, 0.333)","0.830 (0.815, 0.815)","0.041 (0.034, 0.034)",AlloSure
0.16,"0.633 (0.601, 0.601)","0.834 (0.820, 0.820)","0.376 (0.333, 0.333)","0.843 (0.828, 0.828)","0.044 (0.036, 0.036)",AlloSure
0.17,"0.633 (0.601, 0.601)","0.843 (0.829, 0.829)","0.350 (0.300, 0.300)","0.853 (0.835, 0.835)","0.044 (0.035, 0.035)",AlloSure
0.18,"0.633 (0.601, 0.601)","0.853 (0.840, 0.840)","0.330 (0.276, 0.276)","0.863 (0.847, 0.847)","0.044 (0.034, 0.034)",AlloSure
0.19,"0.633 (0.601, 0.601)","0.861 (0.852, 0.852)","0.319 (0.267, 0.267)","0.872 (0.861, 0.861)","0.045 (0.036, 0.036)",AlloSure
0.2,"0.633 (0.601, 0.601)","0.870 (0.858, 0.858)","0.319 (0.267, 0.267)","0.881 (0.867, 0.867)","0.049 (0.039, 0.039)",AlloSure
0.21,"0.633 (0.601, 0.601)","0.876 (0.866, 0.866)","0.278 (0.207, 0.207)","0.888 (0.876, 0.876)","0.045 (0.031, 0.031)",AlloSure
0.22,"0.633 (0.601, 0.601)","0.880 (0.869, 0.869)","0.265 (0.200, 0.200)","0.892 (0.879, 0.879)","0.046 (0.033, 0.033)",AlloSure
0.23,"0.633 (0.601, 0.601)","0.887 (0.877, 0.877)","0.254 (0.172, 0.172)","0.899 (0.887, 0.887)","0.046 (0.029, 0.029)",AlloSure
0.24,"0.633 (0.601, 0.601)","0.891 (0.881, 0.881)","0.248 (0.172, 0.172)","0.904 (0.891, 0.891)","0.048 (0.030, 0.030)",AlloSure
0.25,"0.633 (0.601, 0.601)","0.894 (0.886, 0.886)","0.241 (0.171, 0.171)","0.907 (0.896, 0.896)","0.048 (0.028, 0.028)",AlloSure
0.26,"0.633 (0.601, 0.601)","0.898 (0.889, 0.889)","0.234 (0.167, 0.167)","0.911 (0.900, 0.900)","0.049 (0.026, 0.026)",AlloSure
0.27,"0.633 (0.601, 0.601)","0.901 (0.893, 0.893)","0.216 (0.146, 0.146)","0.914 (0.904, 0.904)","0.047 (0.026, 0.026)",AlloSure
0.28,"0.633 (0.601, 0.601)","0.902 (0.894, 0.894)","0.207 (0.122, 0.122)","0.916 (0.905, 0.905)","0.045 (0.026, 0.026)",AlloSure
0.29,"0.633 (0.601, 0.601)","0.905 (0.896, 0.896)","0.201 (0.122, 0.122)","0.919 (0.907, 0.907)","0.046 (0.026, 0.026)",AlloSure
0.3,"0.633 (0.601, 0.601)","0.907 (0.900, 0.900)","0.197 (0.122, 0.122)","0.921 (0.911, 0.911)","0.046 (0.027, 0.027)",AlloSure
0.31,"0.633 (0.601, 0.601)","0.910 (0.902, 0.902)","0.197 (0.122, 0.122)","0.924 (0.913, 0.913)","0.047 (0.028, 0.028)",AlloSure
0.32,"0.633 (0.601, 0.601)","0.912 (0.905, 0.905)","0.191 (0.122, 0.122)","0.926 (0.917, 0.917)","0.048 (0.029, 0.029)",AlloSure
0.33,"0.633 (0.601, 0.601)","0.914 (0.907, 0.907)","0.191 (0.122, 0.122)","0.928 (0.920, 0.920)","0.049 (0.031, 0.031)",AlloSure
0.34,"0.633 (0.601, 0.601)","0.917 (0.910, 0.910)","0.185 (0.122, 0.122)","0.931 (0.923, 0.923)","0.050 (0.032, 0.032)",AlloSure
0.35000000000000003,"0.633 (0.601, 0.601)","0.918 (0.911, 0.911)","0.181 (0.122, 0.122)","0.933 (0.927, 0.927)","0.050 (0.033, 0.033)",AlloSure
0.36,"0.633 (0.601, 0.601)","0.921 (0.915, 0.915)","0.181 (0.122, 0.122)","0.935 (0.929, 0.929)","0.052 (0.034, 0.034)",AlloSure
0.37,"0.633 (0.601, 0.601)","0.922 (0.917, 0.917)","0.181 (0.122, 0.122)","0.937 (0.931, 0.931)","0.053 (0.035, 0.035)",AlloSure
0.38,"0.633 (0.601, 0.601)","0.924 (0.918, 0.918)","0.181 (0.122, 0.122)","0.938 (0.933, 0.933)","0.054 (0.036, 0.036)",AlloSure
0.39,"0.633 (0.601, 0.601)","0.925 (0.919, 0.919)","0.181 (0.122, 0.122)","0.940 (0.935, 0.935)","0.055 (0.038, 0.038)",AlloSure
0.4,"0.633 (0.601, 0.601)","0.926 (0.920, 0.920)","0.176 (0.103, 0.103)","0.941 (0.936, 0.936)","0.053 (0.038, 0.038)",AlloSure
0.41000000000000003,"0.633 (0.601, 0.601)","0.927 (0.920, 0.920)","0.176 (0.103, 0.103)","0.942 (0.938, 0.938)","0.054 (0.039, 0.039)",AlloSure
0.42,"0.633 (0.601, 0.601)","0.928 (0.921, 0.921)","0.176 (0.103, 0.103)","0.943 (0.939, 0.939)","0.055 (0.040, 0.040)",AlloSure
0.43,"0.633 (0.601, 0.601)","0.929 (0.922, 0.922)","0.176 (0.103, 0.103)","0.944 (0.940, 0.940)","0.056 (0.041, 0.041)",AlloSure
0.44,"0.633 (0.601, 0.601)","0.930 (0.922, 0.922)","0.172 (0.103, 0.103)","0.945 (0.941, 0.941)","0.055 (0.042, 0.042)",AlloSure
0.45,"0.633 (0.601, 0.601)","0.931 (0.923, 0.923)","0.154 (0.098, 0.098)","0.946 (0.943, 0.943)","0.051 (0.034, 0.034)",AlloSure
0.46,"0.633 (0.601, 0.601)","0.932 (0.924, 0.924)","0.154 (0.098, 0.098)","0.947 (0.944, 0.944)","0.053 (0.035, 0.035)",AlloSure
0.47000000000000003,"0.633 (0.601, 0.601)","0.934 (0.926, 0.926)","0.147 (0.098, 0.098)","0.950 (0.946, 0.946)","0.054 (0.028, 0.028)",AlloSure
0.48,"0.633 (0.601, 0.601)","0.936 (0.927, 0.927)","0.147 (0.098, 0.098)","0.951 (0.947, 0.947)","0.055 (0.028, 0.028)",AlloSure
0.49,"0.633 (0.601, 0.601)","0.937 (0.930, 0.930)","0.141 (0.098, 0.098)","0.952 (0.949, 0.949)","0.055 (0.029, 0.029)",AlloSure
0.5,"0.633 (0.601, 0.601)","0.938 (0.931, 0.931)","0.141 (0.098, 0.098)","0.953 (0.951, 0.951)","0.056 (0.030, 0.030)",AlloSure
0.51,"0.633 (0.601, 0.601)","0.938 (0.932, 0.932)","0.132 (0.073, 0.073)","0.954 (0.951, 0.951)","0.051 (0.030, 0.030)",AlloSure
0.52,"0.633 (0.601, 0.601)","0.939 (0.933, 0.933)","0.126 (0.073, 0.073)","0.955 (0.951, 0.951)","0.051 (0.030, 0.030)",AlloSure
0.53,"0.633 (0.601, 0.601)","0.940 (0.933, 0.933)","0.126 (0.073, 0.073)","0.956 (0.952, 0.952)","0.053 (0.031, 0.031)",AlloSure
