Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.65,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.67,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.68,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6900000000000001,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.7000000000000001,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.71,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.72,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.73,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.74,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.75,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.76,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.77,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.78,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.79,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.81,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8200000000000001,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8300000000000001,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.84,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.85,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.86,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.87,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.88,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.89,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.634 (0.600, 0.600)","0.964 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.673 (0.638, 0.638)","0.078 (0.076, 0.076)","0.980 (0.958, 0.958)","0.044 (0.039, 0.039)","0.037 (0.035, 0.035)",AlloSure
0.01,"0.673 (0.638, 0.638)","0.138 (0.128, 0.128)","0.960 (0.958, 0.958)","0.107 (0.098, 0.098)","0.039 (0.037, 0.037)",AlloSure
0.02,"0.673 (0.638, 0.638)","0.213 (0.201, 0.201)","0.927 (0.913, 0.913)","0.186 (0.173, 0.173)","0.041 (0.039, 0.039)",AlloSure
0.03,"0.673 (0.638, 0.638)","0.294 (0.281, 0.281)","0.915 (0.913, 0.913)","0.271 (0.250, 0.250)","0.045 (0.044, 0.044)",AlloSure
0.04,"0.673 (0.638, 0.638)","0.363 (0.342, 0.342)","0.829 (0.739, 0.739)","0.345 (0.316, 0.316)","0.046 (0.045, 0.045)",AlloSure
0.05,"0.673 (0.638, 0.638)","0.429 (0.405, 0.405)","0.800 (0.696, 0.696)","0.415 (0.382, 0.382)","0.049 (0.047, 0.047)",AlloSure
0.06,"0.673 (0.638, 0.638)","0.478 (0.448, 0.448)","0.729 (0.609, 0.609)","0.468 (0.432, 0.432)","0.050 (0.047, 0.047)",AlloSure
0.07,"0.673 (0.638, 0.638)","0.527 (0.492, 0.492)","0.712 (0.565, 0.565)","0.519 (0.478, 0.478)","0.053 (0.048, 0.048)",AlloSure
0.08,"0.673 (0.638, 0.638)","0.566 (0.528, 0.528)","0.647 (0.522, 0.522)","0.562 (0.517, 0.517)","0.053 (0.049, 0.049)",AlloSure
0.09,"0.673 (0.638, 0.638)","0.602 (0.570, 0.570)","0.623 (0.522, 0.522)","0.600 (0.563, 0.563)","0.056 (0.054, 0.054)",AlloSure
0.1,"0.673 (0.638, 0.638)","0.631 (0.608, 0.608)","0.599 (0.522, 0.522)","0.631 (0.604, 0.604)","0.058 (0.058, 0.058)",AlloSure
0.11,"0.673 (0.638, 0.638)","0.652 (0.631, 0.631)","0.599 (0.522, 0.522)","0.653 (0.628, 0.628)","0.062 (0.062, 0.062)",AlloSure
0.12,"0.673 (0.638, 0.638)","0.670 (0.653, 0.653)","0.599 (0.522, 0.522)","0.672 (0.651, 0.651)","0.065 (0.066, 0.066)",AlloSure
0.13,"0.673 (0.638, 0.638)","0.688 (0.661, 0.661)","0.583 (0.522, 0.522)","0.692 (0.660, 0.660)","0.067 (0.069, 0.069)",AlloSure
0.14,"0.673 (0.638, 0.638)","0.702 (0.682, 0.682)","0.538 (0.435, 0.435)","0.708 (0.682, 0.682)","0.065 (0.061, 0.061)",AlloSure
