Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.12,"0.668 (0.693, 0.693)","0.680 (0.672, 0.672)","0.588 (0.636, 0.636)","0.683 (0.669, 0.669)","0.060 (0.051, 0.051)",AlloSure
0.13,"0.668 (0.693, 0.693)","0.700 (0.700, 0.700)","0.571 (0.619, 0.619)","0.704 (0.700, 0.700)","0.063 (0.053, 0.053)",AlloSure
0.14,"0.668 (0.693, 0.693)","0.713 (0.713, 0.713)","0.528 (0.545, 0.545)","0.719 (0.717, 0.717)","0.062 (0.047, 0.047)",AlloSure
0.15,"0.668 (0.693, 0.693)","0.727 (0.725, 0.725)","0.514 (0.545, 0.545)","0.734 (0.731, 0.731)","0.063 (0.049, 0.049)",AlloSure
0.16,"0.668 (0.693, 0.693)","0.740 (0.740, 0.740)","0.514 (0.545, 0.545)","0.747 (0.746, 0.746)","0.067 (0.052, 0.052)",AlloSure
0.17,"0.668 (0.693, 0.693)","0.749 (0.749, 0.749)","0.505 (0.545, 0.545)","0.757 (0.756, 0.756)","0.068 (0.054, 0.054)",AlloSure
0.18,"0.668 (0.693, 0.693)","0.758 (0.758, 0.758)","0.498 (0.545, 0.545)","0.767 (0.767, 0.767)","0.070 (0.055, 0.055)",AlloSure
0.19,"0.668 (0.693, 0.693)","0.767 (0.766, 0.766)","0.485 (0.517, 0.517)","0.777 (0.776, 0.776)","0.070 (0.059, 0.059)",AlloSure
0.2,"0.668 (0.693, 0.693)","0.780 (0.781, 0.781)","0.479 (0.483, 0.483)","0.790 (0.793, 0.793)","0.073 (0.061, 0.061)",AlloSure
0.21,"0.668 (0.693, 0.693)","0.786 (0.788, 0.788)","0.440 (0.409, 0.409)","0.797 (0.800, 0.800)","0.071 (0.048, 0.048)",AlloSure
0.22,"0.668 (0.693, 0.693)","0.790 (0.793, 0.793)","0.435 (0.409, 0.409)","0.802 (0.805, 0.805)","0.071 (0.049, 0.049)",AlloSure
0.23,"0.668 (0.693, 0.693)","0.797 (0.798, 0.798)","0.435 (0.409, 0.409)","0.809 (0.812, 0.812)","0.074 (0.051, 0.051)",AlloSure
0.24,"0.668 (0.693, 0.693)","0.802 (0.801, 0.801)","0.425 (0.364, 0.364)","0.815 (0.813, 0.813)","0.075 (0.047, 0.047)",AlloSure
0.25,"0.668 (0.693, 0.693)","0.808 (0.806, 0.806)","0.425 (0.364, 0.364)","0.820 (0.818, 0.818)","0.077 (0.048, 0.048)",AlloSure
0.26,"0.668 (0.693, 0.693)","0.813 (0.812, 0.812)","0.419 (0.364, 0.364)","0.826 (0.825, 0.825)","0.078 (0.049, 0.049)",AlloSure
0.27,"0.668 (0.693, 0.693)","0.817 (0.817, 0.817)","0.409 (0.318, 0.318)","0.831 (0.830, 0.830)","0.079 (0.044, 0.044)",AlloSure
0.28,"0.668 (0.693, 0.693)","0.821 (0.821, 0.821)","0.409 (0.318, 0.318)","0.835 (0.835, 0.835)","0.081 (0.044, 0.044)",AlloSure
0.29,"0.668 (0.693, 0.693)","0.824 (0.825, 0.825)","0.403 (0.318, 0.318)","0.838 (0.838, 0.838)","0.081 (0.045, 0.045)",AlloSure
0.3,"0.668 (0.693, 0.693)","0.827 (0.831, 0.831)","0.388 (0.318, 0.318)","0.842 (0.841, 0.841)","0.080 (0.045, 0.045)",AlloSure
0.31,"0.668 (0.693, 0.693)","0.830 (0.833, 0.833)","0.388 (0.318, 0.318)","0.844 (0.842, 0.842)","0.082 (0.046, 0.046)",AlloSure
0.32,"0.668 (0.693, 0.693)","0.833 (0.834, 0.834)","0.378 (0.318, 0.318)","0.848 (0.845, 0.845)","0.082 (0.047, 0.047)",AlloSure
0.33,"0.668 (0.693, 0.693)","0.837 (0.840, 0.840)","0.378 (0.318, 0.318)","0.853 (0.851, 0.851)","0.085 (0.048, 0.048)",AlloSure
0.34,"0.668 (0.693, 0.693)","0.840 (0.844, 0.844)","0.368 (0.318, 0.318)","0.856 (0.856, 0.856)","0.084 (0.049, 0.049)",AlloSure
0.35000000000000003,"0.668 (0.693, 0.693)","0.842 (0.845, 0.845)","0.363 (0.318, 0.318)","0.858 (0.857, 0.857)","0.084 (0.049, 0.049)",AlloSure
0.36,"0.668 (0.693, 0.693)","0.843 (0.846, 0.846)","0.363 (0.318, 0.318)","0.860 (0.858, 0.858)","0.085 (0.050, 0.050)",AlloSure
0.37,"0.668 (0.693, 0.693)","0.846 (0.847, 0.847)","0.363 (0.318, 0.318)","0.863 (0.863, 0.863)","0.087 (0.051, 0.051)",AlloSure
0.38,"0.668 (0.693, 0.693)","0.848 (0.847, 0.847)","0.363 (0.318, 0.318)","0.864 (0.863, 0.863)","0.087 (0.052, 0.052)",AlloSure
0.39,"0.668 (0.693, 0.693)","0.851 (0.850, 0.850)","0.363 (0.318, 0.318)","0.868 (0.867, 0.867)","0.090 (0.053, 0.053)",AlloSure
0.4,"0.668 (0.693, 0.693)","0.852 (0.852, 0.852)","0.354 (0.318, 0.318)","0.869 (0.870, 0.870)","0.089 (0.053, 0.053)",AlloSure
0.41000000000000003,"0.668 (0.693, 0.693)","0.855 (0.853, 0.853)","0.354 (0.318, 0.318)","0.872 (0.870, 0.870)","0.090 (0.054, 0.054)",AlloSure
0.42,"0.668 (0.693, 0.693)","0.856 (0.853, 0.853)","0.354 (0.318, 0.318)","0.873 (0.870, 0.870)","0.091 (0.054, 0.054)",AlloSure
0.43,"0.668 (0.693, 0.693)","0.858 (0.856, 0.856)","0.354 (0.318, 0.318)","0.875 (0.873, 0.873)","0.092 (0.054, 0.054)",AlloSure
0.44,"0.668 (0.693, 0.693)","0.860 (0.857, 0.857)","0.347 (0.318, 0.318)","0.878 (0.875, 0.875)","0.092 (0.056, 0.056)",AlloSure
0.45,"0.668 (0.693, 0.693)","0.862 (0.859, 0.859)","0.332 (0.273, 0.273)","0.880 (0.877, 0.877)","0.090 (0.049, 0.049)",AlloSure
0.46,"0.668 (0.693, 0.693)","0.863 (0.860, 0.860)","0.332 (0.273, 0.273)","0.881 (0.878, 0.878)","0.091 (0.050, 0.050)",AlloSure
