Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.3,"0.663 (0.636, 0.636)","0.873 (0.865, 0.865)","0.310 (0.262, 0.262)","0.886 (0.878, 0.878)","0.052 (0.044, 0.044)",AlloSure,0.663,0.873,0.31,0.886,0.052
0.31,"0.663 (0.636, 0.636)","0.877 (0.867, 0.867)","0.310 (0.262, 0.262)","0.891 (0.879, 0.879)","0.054 (0.045, 0.045)",AlloSure,0.663,0.877,0.31,0.891,0.054
0.32,"0.663 (0.636, 0.636)","0.880 (0.869, 0.869)","0.310 (0.262, 0.262)","0.894 (0.883, 0.883)","0.051 (0.046, 0.046)",AlloSure,0.663,0.88,0.31,0.894,0.051
0.33,"0.663 (0.636, 0.636)","0.882 (0.872, 0.872)","0.293 (0.262, 0.262)","0.896 (0.885, 0.885)","0.053 (0.047, 0.047)",AlloSure,0.663,0.882,0.293,0.896,0.053
0.34,"0.663 (0.636, 0.636)","0.885 (0.875, 0.875)","0.292 (0.262, 0.262)","0.898 (0.889, 0.889)","0.050 (0.048, 0.048)",AlloSure,0.663,0.885,0.292,0.898,0.05
0.35000000000000003,"0.663 (0.636, 0.636)","0.887 (0.880, 0.880)","0.262 (0.259, 0.259)","0.900 (0.893, 0.893)","0.051 (0.049, 0.049)",AlloSure,0.663,0.887,0.262,0.9,0.051
0.36,"0.663 (0.636, 0.636)","0.889 (0.881, 0.881)","0.262 (0.241, 0.241)","0.903 (0.895, 0.895)","0.053 (0.050, 0.050)",AlloSure,0.663,0.889,0.262,0.903,0.053
0.37,"0.663 (0.636, 0.636)","0.890 (0.884, 0.884)","0.262 (0.241, 0.241)","0.907 (0.898, 0.898)","0.054 (0.052, 0.052)",AlloSure,0.663,0.89,0.262,0.907,0.054
0.38,"0.663 (0.636, 0.636)","0.891 (0.886, 0.886)","0.262 (0.241, 0.241)","0.907 (0.899, 0.899)","0.056 (0.053, 0.053)",AlloSure,0.663,0.891,0.262,0.907,0.056
0.39,"0.663 (0.636, 0.636)","0.893 (0.888, 0.888)","0.262 (0.241, 0.241)","0.909 (0.901, 0.901)","0.058 (0.055, 0.055)",AlloSure,0.663,0.893,0.262,0.909,0.058
0.4,"0.663 (0.636, 0.636)","0.893 (0.889, 0.889)","0.262 (0.241, 0.241)","0.910 (0.903, 0.903)","0.059 (0.056, 0.056)",AlloSure,0.663,0.893,0.262,0.91,0.059
0.41000000000000003,"0.663 (0.636, 0.636)","0.895 (0.891, 0.891)","0.262 (0.241, 0.241)","0.911 (0.904, 0.904)","0.059 (0.058, 0.058)",AlloSure,0.663,0.895,0.262,0.911,0.059
0.42,"0.663 (0.636, 0.636)","0.896 (0.893, 0.893)","0.262 (0.241, 0.241)","0.913 (0.907, 0.907)","0.060 (0.059, 0.059)",AlloSure,0.663,0.896,0.262,0.913,0.06
0.43,"0.663 (0.636, 0.636)","0.897 (0.894, 0.894)","0.262 (0.241, 0.241)","0.914 (0.908, 0.908)","0.061 (0.060, 0.060)",AlloSure,0.663,0.897,0.262,0.914,0.061
0.44,"0.663 (0.636, 0.636)","0.900 (0.896, 0.896)","0.262 (0.241, 0.241)","0.917 (0.910, 0.910)","0.062 (0.062, 0.062)",AlloSure,0.663,0.9,0.262,0.917,0.062
0.45,"0.663 (0.636, 0.636)","0.901 (0.897, 0.897)","0.238 (0.224, 0.224)","0.918 (0.911, 0.911)","0.058 (0.055, 0.055)",AlloSure,0.663,0.901,0.238,0.918,0.058
0.46,"0.663 (0.636, 0.636)","0.902 (0.899, 0.899)","0.238 (0.224, 0.224)","0.918 (0.913, 0.913)","0.060 (0.056, 0.056)",AlloSure,0.663,0.902,0.238,0.918,0.06
0.47000000000000003,"0.663 (0.636, 0.636)","0.904 (0.902, 0.902)","0.238 (0.224, 0.224)","0.920 (0.916, 0.916)","0.062 (0.057, 0.057)",AlloSure,0.663,0.904,0.238,0.92,0.062
0.48,"0.663 (0.636, 0.636)","0.905 (0.903, 0.903)","0.238 (0.224, 0.224)","0.921 (0.917, 0.917)","0.063 (0.059, 0.059)",AlloSure,0.663,0.905,0.238,0.921,0.063
0.49,"0.663 (0.636, 0.636)","0.906 (0.904, 0.904)","0.238 (0.224, 0.224)","0.924 (0.918, 0.918)","0.063 (0.059, 0.059)",AlloSure,0.663,0.906,0.238,0.924,0.063
0.5,"0.663 (0.636, 0.636)","0.907 (0.905, 0.905)","0.238 (0.224, 0.224)","0.925 (0.919, 0.919)","0.065 (0.060, 0.060)",AlloSure,0.663,0.907,0.238,0.925,0.065
0.51,"0.663 (0.636, 0.636)","0.908 (0.907, 0.907)","0.238 (0.207, 0.207)","0.926 (0.921, 0.921)","0.065 (0.062, 0.062)",AlloSure,0.663,0.908,0.238,0.926,0.065
0.52,"0.663 (0.636, 0.636)","0.909 (0.908, 0.908)","0.238 (0.207, 0.207)","0.927 (0.923, 0.923)","0.067 (0.063, 0.063)",AlloSure,0.663,0.909,0.238,0.927,0.067
0.53,"0.663 (0.636, 0.636)","0.911 (0.909, 0.909)","0.229 (0.207, 0.207)","0.929 (0.924, 0.924)","0.068 (0.060, 0.060)",AlloSure,0.663,0.911,0.229,0.929,0.068
0.54,"0.663 (0.636, 0.636)","0.912 (0.912, 0.912)","0.229 (0.190, 0.190)","0.931 (0.927, 0.927)","0.066 (0.060, 0.060)",AlloSure,0.663,0.912,0.229,0.931,0.066
0.55,"0.663 (0.636, 0.636)","0.914 (0.914, 0.914)","0.214 (0.190, 0.190)","0.932 (0.929, 0.929)","0.066 (0.060, 0.060)",AlloSure,0.663,0.914,0.214,0.932,0.066
0.56,"0.663 (0.636, 0.636)","0.915 (0.914, 0.914)","0.214 (0.190, 0.190)","0.933 (0.930, 0.930)","0.067 (0.062, 0.062)",AlloSure,0.663,0.915,0.214,0.933,0.067
0.5700000000000001,"0.663 (0.636, 0.636)","0.917 (0.915, 0.915)","0.214 (0.190, 0.190)","0.934 (0.932, 0.932)","0.069 (0.064, 0.064)",AlloSure,0.663,0.917,0.214,0.934,0.069
0.58,"0.663 (0.636, 0.636)","0.918 (0.915, 0.915)","0.214 (0.190, 0.190)","0.934 (0.933, 0.933)","0.069 (0.066, 0.066)",AlloSure,0.663,0.918,0.214,0.934,0.069
0.59,"0.663 (0.636, 0.636)","0.918 (0.915, 0.915)","0.214 (0.172, 0.172)","0.934 (0.933, 0.933)","0.067 (0.063, 0.063)",AlloSure,0.663,0.918,0.214,0.934,0.067
0.6,"0.663 (0.636, 0.636)","0.919 (0.918, 0.918)","0.214 (0.172, 0.172)","0.934 (0.934, 0.934)","0.070 (0.063, 0.063)",AlloSure,0.663,0.919,0.214,0.934,0.07
0.61,"0.663 (0.636, 0.636)","0.920 (0.918, 0.918)","0.214 (0.172, 0.172)","0.936 (0.935, 0.935)","0.070 (0.065, 0.065)",AlloSure,0.663,0.92,0.214,0.936,0.07
0.62,"0.663 (0.636, 0.636)","0.922 (0.918, 0.918)","0.208 (0.156, 0.156)","0.937 (0.937, 0.937)","0.064 (0.053, 0.053)",AlloSure,0.663,0.922,0.208,0.937,0.064
0.63,"0.663 (0.636, 0.636)","0.922 (0.918, 0.918)","0.208 (0.156, 0.156)","0.937 (0.937, 0.937)","0.065 (0.053, 0.053)",AlloSure,0.663,0.922,0.208,0.937,0.065
0.64,"0.663 (0.636, 0.636)","0.922 (0.920, 0.920)","0.208 (0.138, 0.138)","0.938 (0.937, 0.937)","0.066 (0.054, 0.054)",AlloSure,0.663,0.922,0.208,0.938,0.066
0.65,"0.663 (0.636, 0.636)","0.923 (0.921, 0.921)","0.208 (0.138, 0.138)","0.939 (0.938, 0.938)","0.067 (0.054, 0.054)",AlloSure,0.663,0.923,0.208,0.939,0.067
0.66,"0.663 (0.636, 0.636)","0.924 (0.922, 0.922)","0.208 (0.121, 0.121)","0.940 (0.939, 0.939)","0.068 (0.049, 0.049)",AlloSure,0.663,0.924,0.208,0.94,0.068
0.67,"0.663 (0.636, 0.636)","0.925 (0.922, 0.922)","0.208 (0.121, 0.121)","0.941 (0.941, 0.941)","0.068 (0.050, 0.050)",AlloSure,0.663,0.925,0.208,0.941,0.068
0.68,"0.663 (0.636, 0.636)","0.925 (0.922, 0.922)","0.208 (0.121, 0.121)","0.942 (0.941, 0.941)","0.068 (0.051, 0.051)",AlloSure,0.663,0.925,0.208,0.942,0.068
0.6900000000000001,"0.663 (0.636, 0.636)","0.927 (0.923, 0.923)","0.208 (0.121, 0.121)","0.943 (0.943, 0.943)","0.069 (0.052, 0.052)",AlloSure,0.663,0.927,0.208,0.943,0.069
0.7000000000000001,"0.663 (0.636, 0.636)","0.927 (0.924, 0.924)","0.208 (0.121, 0.121)","0.944 (0.943, 0.943)","0.070 (0.053, 0.053)",AlloSure,0.663,0.927,0.208,0.944,0.07
0.71,"0.663 (0.636, 0.636)","0.928 (0.925, 0.925)","0.208 (0.121, 0.121)","0.945 (0.943, 0.943)","0.071 (0.054, 0.054)",AlloSure,0.663,0.928,0.208,0.945,0.071
0.72,"0.663 (0.636, 0.636)","0.928 (0.926, 0.926)","0.190 (0.121, 0.121)","0.946 (0.944, 0.944)","0.072 (0.055, 0.055)",AlloSure,0.663,0.928,0.19,0.946,0.072
0.73,"0.663 (0.636, 0.636)","0.928 (0.927, 0.927)","0.190 (0.121, 0.121)","0.946 (0.944, 0.944)","0.074 (0.055, 0.055)",AlloSure,0.663,0.928,0.19,0.946,0.074
0.74,"0.663 (0.636, 0.636)","0.929 (0.928, 0.928)","0.190 (0.121, 0.121)","0.946 (0.945, 0.945)","0.075 (0.055, 0.055)",AlloSure,0.663,0.929,0.19,0.946,0.075
0.75,"0.663 (0.636, 0.636)","0.930 (0.929, 0.929)","0.190 (0.121, 0.121)","0.947 (0.946, 0.946)","0.076 (0.056, 0.056)",AlloSure,0.663,0.93,0.19,0.947,0.076
0.76,"0.663 (0.636, 0.636)","0.930 (0.929, 0.929)","0.190 (0.121, 0.121)","0.948 (0.946, 0.946)","0.077 (0.056, 0.056)",AlloSure,0.663,0.93,0.19,0.948,0.077
0.77,"0.663 (0.636, 0.636)","0.931 (0.930, 0.930)","0.188 (0.121, 0.121)","0.948 (0.947, 0.947)","0.071 (0.057, 0.057)",AlloSure,0.663,0.931,0.188,0.948,0.071
0.78,"0.663 (0.636, 0.636)","0.932 (0.931, 0.931)","0.188 (0.121, 0.121)","0.948 (0.948, 0.948)","0.072 (0.057, 0.057)",AlloSure,0.663,0.932,0.188,0.948,0.072
0.79,"0.663 (0.636, 0.636)","0.933 (0.932, 0.932)","0.188 (0.121, 0.121)","0.949 (0.949, 0.949)","0.074 (0.058, 0.058)",AlloSure,0.663,0.933,0.188,0.949,0.074
0.8,"0.663 (0.636, 0.636)","0.934 (0.933, 0.933)","0.167 (0.121, 0.121)","0.950 (0.950, 0.950)","0.067 (0.058, 0.058)",AlloSure,0.663,0.934,0.167,0.95,0.067
0.81,"0.663 (0.636, 0.636)","0.934 (0.933, 0.933)","0.167 (0.121, 0.121)","0.951 (0.950, 0.950)","0.068 (0.059, 0.059)",AlloSure,0.663,0.934,0.167,0.951,0.068
0.8200000000000001,"0.663 (0.636, 0.636)","0.934 (0.934, 0.934)","0.167 (0.121, 0.121)","0.951 (0.951, 0.951)","0.069 (0.060, 0.060)",AlloSure,0.663,0.934,0.167,0.951,0.069
0.8300000000000001,"0.663 (0.636, 0.636)","0.935 (0.934, 0.934)","0.167 (0.121, 0.121)","0.953 (0.951, 0.951)","0.070 (0.062, 0.062)",AlloSure,0.663,0.935,0.167,0.953,0.07
0.84,"0.663 (0.636, 0.636)","0.936 (0.935, 0.935)","0.167 (0.121, 0.121)","0.953 (0.952, 0.952)","0.071 (0.062, 0.062)",AlloSure,0.663,0.936,0.167,0.953,0.071
0.85,"0.663 (0.636, 0.636)","0.936 (0.936, 0.936)","0.167 (0.121, 0.121)","0.954 (0.953, 0.953)","0.072 (0.064, 0.064)",AlloSure,0.663,0.936,0.167,0.954,0.072
0.86,"0.663 (0.636, 0.636)","0.937 (0.937, 0.937)","0.167 (0.121, 0.121)","0.954 (0.954, 0.954)","0.073 (0.064, 0.064)",AlloSure,0.663,0.937,0.167,0.954,0.073
0.87,"0.663 (0.636, 0.636)","0.937 (0.937, 0.937)","0.167 (0.121, 0.121)","0.954 (0.954, 0.954)","0.074 (0.067, 0.067)",AlloSure,0.663,0.937,0.167,0.954,0.074
0.88,"0.663 (0.636, 0.636)","0.938 (0.937, 0.937)","0.167 (0.121, 0.121)","0.955 (0.954, 0.954)","0.075 (0.067, 0.067)",AlloSure,0.663,0.938,0.167,0.955,0.075
0.89,"0.663 (0.636, 0.636)","0.939 (0.938, 0.938)","0.167 (0.121, 0.121)","0.956 (0.956, 0.956)","0.076 (0.067, 0.067)",AlloSure,0.663,0.939,0.167,0.956,0.076
0.9,"0.663 (0.636, 0.636)","0.939 (0.939, 0.939)","0.167 (0.121, 0.121)","0.956 (0.956, 0.956)","0.076 (0.067, 0.067)",AlloSure,0.663,0.939,0.167,0.956,0.076
0.91,"0.663 (0.636, 0.636)","0.939 (0.939, 0.939)","0.167 (0.121, 0.121)","0.957 (0.957, 0.957)","0.078 (0.067, 0.067)",AlloSure,0.663,0.939,0.167,0.957,0.078
0.92,"0.663 (0.636, 0.636)","0.940 (0.940, 0.940)","0.167 (0.121, 0.121)","0.957 (0.957, 0.957)","0.078 (0.068, 0.068)",AlloSure,0.663,0.94,0.167,0.957,0.078
0.93,"0.663 (0.636, 0.636)","0.941 (0.940, 0.940)","0.167 (0.121, 0.121)","0.957 (0.957, 0.957)","0.078 (0.068, 0.068)",AlloSure,0.663,0.941,0.167,0.957,0.078
0.9400000000000001,"0.663 (0.636, 0.636)","0.942 (0.941, 0.941)","0.167 (0.121, 0.121)","0.958 (0.958, 0.958)","0.080 (0.069, 0.069)",AlloSure,0.663,0.942,0.167,0.958,0.08
0.9500000000000001,"0.663 (0.636, 0.636)","0.942 (0.942, 0.942)","0.167 (0.121, 0.121)","0.959 (0.959, 0.959)","0.082 (0.069, 0.069)",AlloSure,0.663,0.942,0.167,0.959,0.082
0.96,"0.663 (0.636, 0.636)","0.943 (0.942, 0.942)","0.143 (0.121, 0.121)","0.959 (0.959, 0.959)","0.078 (0.071, 0.071)",AlloSure,0.663,0.943,0.143,0.959,0.078
0.97,"0.663 (0.636, 0.636)","0.943 (0.943, 0.943)","0.143 (0.111, 0.111)","0.960 (0.960, 0.960)","0.078 (0.062, 0.062)",AlloSure,0.663,0.943,0.143,0.96,0.078
0.98,"0.663 (0.636, 0.636)","0.944 (0.943, 0.943)","0.119 (0.111, 0.111)","0.961 (0.960, 0.960)","0.068 (0.063, 0.063)",AlloSure,0.663,0.944,0.119,0.961,0.068
0.99,"0.663 (0.636, 0.636)","0.945 (0.944, 0.944)","0.119 (0.111, 0.111)","0.961 (0.961, 0.961)","0.068 (0.063, 0.063)",AlloSure,0.663,0.945,0.119,0.961,0.068
1.0,"0.663 (0.636, 0.636)","0.945 (0.944, 0.944)","0.119 (0.111, 0.111)","0.962 (0.961, 0.961)","0.068 (0.065, 0.065)",AlloSure,0.663,0.945,0.119,0.962,0.068
1.01,"0.663 (0.636, 0.636)","0.945 (0.945, 0.945)","0.119 (0.111, 0.111)","0.962 (0.962, 0.962)","0.068 (0.065, 0.065)",AlloSure,0.663,0.945,0.119,0.962,0.068
0.0,"0.602 (0.595, 0.595)","0.021 (0.019, 0.019)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.021 (0.019, 0.019)",Logistic Regression,0.602,0.021,1.0,0.0,0.021
0.01,"0.602 (0.595, 0.595)","0.021 (0.019, 0.019)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.021 (0.019, 0.019)",Logistic Regression,0.602,0.021,1.0,0.0,0.021
0.02,"0.602 (0.595, 0.595)","0.392 (0.385, 0.385)","0.709 (0.690, 0.690)","0.384 (0.379, 0.379)","0.027 (0.023, 0.023)",Logistic Regression,0.602,0.392,0.709,0.384,0.027
0.03,"0.602 (0.595, 0.595)","0.952 (0.952, 0.952)","0.121 (0.119, 0.119)","0.970 (0.970, 0.970)","0.085 (0.081, 0.081)",Logistic Regression,0.602,0.952,0.121,0.97,0.085
0.04,"0.602 (0.595, 0.595)","0.967 (0.965, 0.965)","0.062 (0.044, 0.044)","0.985 (0.985, 0.985)","0.079 (0.062, 0.062)",Logistic Regression,0.602,0.967,0.062,0.985,0.079
0.05,"0.602 (0.595, 0.595)","0.970 (0.970, 0.970)","0.052 (0.024, 0.024)","0.991 (0.990, 0.990)","0.103 (0.048, 0.048)",Logistic Regression,0.602,0.97,0.052,0.991,0.103
0.06,"0.602 (0.595, 0.595)","0.972 (0.972, 0.972)","0.034 (0.024, 0.024)","0.993 (0.993, 0.993)","0.100 (0.062, 0.062)",Logistic Regression,0.602,0.972,0.034,0.993,0.1
0.07,"0.602 (0.595, 0.595)","0.974 (0.974, 0.974)","0.034 (0.024, 0.024)","0.994 (0.994, 0.994)","0.125 (0.071, 0.071)",Logistic Regression,0.602,0.974,0.034,0.994,0.125
0.08,"0.602 (0.595, 0.595)","0.975 (0.974, 0.974)","0.021 (0.017, 0.017)","0.996 (0.995, 0.995)","0.077 (0.071, 0.071)",Logistic Regression,0.602,0.975,0.021,0.996,0.077
0.09,"0.602 (0.595, 0.595)","0.975 (0.975, 0.975)","0.021 (0.017, 0.017)","0.996 (0.996, 0.996)","0.100 (0.071, 0.071)",Logistic Regression,0.602,0.975,0.021,0.996,0.1
0.1,"0.602 (0.595, 0.595)","0.975 (0.975, 0.975)","0.021 (0.017, 0.017)","0.997 (0.996, 0.996)","0.111 (0.071, 0.071)",Logistic Regression,0.602,0.975,0.021,0.997,0.111
0.11,"0.602 (0.595, 0.595)","0.975 (0.975, 0.975)","0.017 (0.000, 0.000)","0.997 (0.997, 0.997)","0.083 (0.000, 0.000)",Logistic Regression,0.602,0.975,0.017,0.997,0.083
0.12,"0.602 (0.595, 0.595)","0.975 (0.975, 0.975)","0.017 (0.000, 0.000)","0.997 (0.997, 0.997)","0.111 (0.000, 0.000)",Logistic Regression,0.602,0.975,0.017,0.997,0.111
0.13,"0.602 (0.595, 0.595)","0.976 (0.976, 0.976)","0.017 (0.000, 0.000)","0.998 (0.998, 0.998)","0.125 (0.000, 0.000)",Logistic Regression,0.602,0.976,0.017,0.998,0.125
0.14,"0.602 (0.595, 0.595)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.976,0.0,0.999,0.0
0.15,"0.602 (0.595, 0.595)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.976,0.0,0.999,0.0
0.16,"0.602 (0.595, 0.595)","0.977 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.977,0.0,0.999,0.0
0.17,"0.602 (0.595, 0.595)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.978,0.0,0.999,0.0
0.18,"0.602 (0.595, 0.595)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.978,0.0,0.999,0.0
0.19,"0.602 (0.595, 0.595)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.978,0.0,0.999,0.0
0.2,"0.602 (0.595, 0.595)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.978,0.0,0.999,0.0
0.21,"0.602 (0.595, 0.595)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,0.999,0.0
0.22,"0.602 (0.595, 0.595)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,0.999,0.0
0.23,"0.602 (0.595, 0.595)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,0.999,0.0
0.24,"0.602 (0.595, 0.595)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,0.999,0.0
0.25,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,0.999,0.0
0.26,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,0.999,0.0
0.27,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,0.999,0.0
0.28,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,0.999,0.0
0.29,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,0.999,0.0
0.3,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.31,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.32,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.33,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.34,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.35000000000000003,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.36,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.37,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.38,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.39,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.4,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.41000000000000003,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.42,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.43,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.44,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.45,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.46,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.47000000000000003,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.48,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.49,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.5,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.51,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.52,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.53,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.54,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.55,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.56,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
