Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.43,"0.674 (0.635, 0.635)","0.857 (0.848, 0.848)","0.370 (0.333, 0.333)","0.873 (0.866, 0.866)","0.081 (0.079, 0.079)",AlloSure
0.44,"0.674 (0.635, 0.635)","0.860 (0.848, 0.848)","0.364 (0.333, 0.333)","0.876 (0.867, 0.867)","0.081 (0.081, 0.081)",AlloSure
0.45,"0.674 (0.635, 0.635)","0.862 (0.852, 0.852)","0.353 (0.278, 0.278)","0.878 (0.869, 0.869)","0.080 (0.078, 0.078)",AlloSure
0.46,"0.674 (0.635, 0.635)","0.863 (0.854, 0.854)","0.353 (0.278, 0.278)","0.880 (0.872, 0.872)","0.081 (0.080, 0.080)",AlloSure
0.47000000000000003,"0.674 (0.635, 0.635)","0.865 (0.858, 0.858)","0.346 (0.278, 0.278)","0.882 (0.875, 0.875)","0.081 (0.081, 0.081)",AlloSure
0.48,"0.674 (0.635, 0.635)","0.867 (0.858, 0.858)","0.346 (0.278, 0.278)","0.884 (0.876, 0.876)","0.083 (0.081, 0.081)",AlloSure
0.49,"0.674 (0.635, 0.635)","0.868 (0.858, 0.858)","0.338 (0.278, 0.278)","0.885 (0.877, 0.877)","0.082 (0.077, 0.077)",AlloSure
0.5,"0.674 (0.635, 0.635)","0.869 (0.858, 0.858)","0.338 (0.278, 0.278)","0.887 (0.879, 0.879)","0.083 (0.078, 0.078)",AlloSure
0.51,"0.674 (0.635, 0.635)","0.870 (0.858, 0.858)","0.327 (0.231, 0.231)","0.888 (0.879, 0.879)","0.081 (0.079, 0.079)",AlloSure
0.52,"0.674 (0.635, 0.635)","0.872 (0.858, 0.858)","0.318 (0.231, 0.231)","0.890 (0.880, 0.880)","0.081 (0.075, 0.075)",AlloSure
0.53,"0.674 (0.635, 0.635)","0.874 (0.860, 0.860)","0.301 (0.222, 0.222)","0.893 (0.883, 0.883)","0.078 (0.076, 0.076)",AlloSure
0.54,"0.674 (0.635, 0.635)","0.876 (0.863, 0.863)","0.293 (0.222, 0.222)","0.895 (0.886, 0.886)","0.077 (0.077, 0.077)",AlloSure
0.55,"0.674 (0.635, 0.635)","0.878 (0.866, 0.866)","0.286 (0.222, 0.222)","0.897 (0.889, 0.889)","0.077 (0.069, 0.069)",AlloSure
0.56,"0.674 (0.635, 0.635)","0.880 (0.867, 0.867)","0.286 (0.222, 0.222)","0.899 (0.889, 0.889)","0.079 (0.071, 0.071)",AlloSure
0.5700000000000001,"0.674 (0.635, 0.635)","0.881 (0.868, 0.868)","0.286 (0.222, 0.222)","0.901 (0.889, 0.889)","0.080 (0.073, 0.073)",AlloSure
0.58,"0.674 (0.635, 0.635)","0.882 (0.869, 0.869)","0.286 (0.222, 0.222)","0.902 (0.890, 0.890)","0.080 (0.075, 0.075)",AlloSure
0.59,"0.674 (0.635, 0.635)","0.883 (0.871, 0.871)","0.281 (0.222, 0.222)","0.903 (0.893, 0.893)","0.079 (0.073, 0.073)",AlloSure
0.6,"0.674 (0.635, 0.635)","0.885 (0.873, 0.873)","0.281 (0.222, 0.222)","0.904 (0.896, 0.896)","0.080 (0.073, 0.073)",AlloSure
