Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.74,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.75,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.76,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.77,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.78,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.79,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.8,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.81,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.8200000000000001,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.8300000000000001,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.84,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.85,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.86,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.87,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.88,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.89,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.9,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.659 (0.614, 0.614)","0.064 (0.063, 0.063)","0.975 (0.955, 0.955)","0.044 (0.043, 0.043)","0.022 (0.019, 0.019)",AlloSure
0.01,"0.659 (0.614, 0.614)","0.130 (0.127, 0.127)","0.930 (0.909, 0.909)","0.113 (0.111, 0.111)","0.022 (0.019, 0.019)",AlloSure
0.02,"0.659 (0.614, 0.614)","0.215 (0.203, 0.203)","0.897 (0.886, 0.886)","0.200 (0.190, 0.190)","0.024 (0.021, 0.021)",AlloSure
0.03,"0.659 (0.614, 0.614)","0.306 (0.299, 0.299)","0.867 (0.862, 0.862)","0.294 (0.292, 0.292)","0.026 (0.023, 0.023)",AlloSure
0.04,"0.659 (0.614, 0.614)","0.386 (0.373, 0.373)","0.771 (0.727, 0.727)","0.378 (0.368, 0.368)","0.026 (0.021, 0.021)",AlloSure
0.05,"0.659 (0.614, 0.614)","0.460 (0.443, 0.443)","0.739 (0.700, 0.700)","0.453 (0.434, 0.434)","0.028 (0.023, 0.023)",AlloSure
0.06,"0.659 (0.614, 0.614)","0.521 (0.511, 0.511)","0.677 (0.636, 0.636)","0.518 (0.505, 0.505)","0.030 (0.025, 0.025)",AlloSure
0.07,"0.659 (0.614, 0.614)","0.571 (0.562, 0.562)","0.655 (0.636, 0.636)","0.569 (0.560, 0.560)","0.032 (0.028, 0.028)",AlloSure
0.08,"0.659 (0.614, 0.614)","0.614 (0.593, 0.593)","0.598 (0.550, 0.550)","0.615 (0.593, 0.593)","0.033 (0.025, 0.025)",AlloSure
0.09,"0.659 (0.614, 0.614)","0.652 (0.633, 0.633)","0.571 (0.550, 0.550)","0.654 (0.635, 0.635)","0.035 (0.024, 0.024)",AlloSure
0.1,"0.659 (0.614, 0.614)","0.683 (0.664, 0.664)","0.546 (0.525, 0.525)","0.686 (0.667, 0.667)","0.037 (0.026, 0.026)",AlloSure
0.11,"0.659 (0.614, 0.614)","0.707 (0.691, 0.691)","0.534 (0.525, 0.525)","0.711 (0.694, 0.694)","0.039 (0.028, 0.028)",AlloSure
0.12,"0.659 (0.614, 0.614)","0.726 (0.710, 0.710)","0.524 (0.523, 0.523)","0.731 (0.713, 0.713)","0.041 (0.029, 0.029)",AlloSure
0.13,"0.659 (0.614, 0.614)","0.744 (0.727, 0.727)","0.517 (0.523, 0.523)","0.748 (0.732, 0.732)","0.043 (0.031, 0.031)",AlloSure
0.14,"0.659 (0.614, 0.614)","0.758 (0.746, 0.746)","0.490 (0.500, 0.500)","0.764 (0.750, 0.750)","0.043 (0.032, 0.032)",AlloSure
