Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.33,"0.665 (0.615, 0.615)","0.853 (0.839, 0.839)","0.332 (0.243, 0.243)","0.867 (0.848, 0.848)","0.061 (0.046, 0.046)",AlloSure
0.34,"0.665 (0.615, 0.615)","0.856 (0.844, 0.844)","0.328 (0.243, 0.243)","0.871 (0.853, 0.853)","0.062 (0.047, 0.047)",AlloSure
0.35000000000000003,"0.665 (0.615, 0.615)","0.858 (0.845, 0.845)","0.316 (0.243, 0.243)","0.872 (0.855, 0.855)","0.061 (0.047, 0.047)",AlloSure
0.36,"0.665 (0.615, 0.615)","0.860 (0.849, 0.849)","0.316 (0.243, 0.243)","0.875 (0.859, 0.859)","0.062 (0.048, 0.048)",AlloSure
0.37,"0.665 (0.615, 0.615)","0.863 (0.852, 0.852)","0.316 (0.243, 0.243)","0.877 (0.861, 0.861)","0.063 (0.049, 0.049)",AlloSure
0.38,"0.665 (0.615, 0.615)","0.865 (0.853, 0.853)","0.316 (0.243, 0.243)","0.879 (0.863, 0.863)","0.064 (0.050, 0.050)",AlloSure
0.39,"0.665 (0.615, 0.615)","0.868 (0.857, 0.857)","0.316 (0.243, 0.243)","0.883 (0.867, 0.867)","0.066 (0.052, 0.052)",AlloSure
0.4,"0.665 (0.615, 0.615)","0.869 (0.858, 0.858)","0.309 (0.243, 0.243)","0.884 (0.869, 0.869)","0.066 (0.052, 0.052)",AlloSure
0.41000000000000003,"0.665 (0.615, 0.615)","0.871 (0.859, 0.859)","0.309 (0.243, 0.243)","0.886 (0.870, 0.870)","0.067 (0.054, 0.054)",AlloSure
0.42,"0.665 (0.615, 0.615)","0.872 (0.860, 0.860)","0.309 (0.243, 0.243)","0.888 (0.871, 0.871)","0.068 (0.056, 0.056)",AlloSure
0.43,"0.665 (0.615, 0.615)","0.874 (0.862, 0.862)","0.309 (0.243, 0.243)","0.889 (0.873, 0.873)","0.069 (0.057, 0.057)",AlloSure
0.44,"0.665 (0.615, 0.615)","0.876 (0.864, 0.864)","0.305 (0.243, 0.243)","0.892 (0.875, 0.875)","0.069 (0.057, 0.057)",AlloSure
0.45,"0.665 (0.615, 0.615)","0.878 (0.867, 0.867)","0.293 (0.243, 0.243)","0.894 (0.878, 0.878)","0.068 (0.058, 0.058)",AlloSure
0.46,"0.665 (0.615, 0.615)","0.880 (0.869, 0.869)","0.293 (0.243, 0.243)","0.896 (0.880, 0.880)","0.069 (0.059, 0.059)",AlloSure
0.47000000000000003,"0.665 (0.615, 0.615)","0.882 (0.871, 0.871)","0.288 (0.216, 0.216)","0.898 (0.882, 0.882)","0.069 (0.054, 0.054)",AlloSure
0.48,"0.665 (0.615, 0.615)","0.884 (0.874, 0.874)","0.288 (0.216, 0.216)","0.900 (0.885, 0.885)","0.071 (0.054, 0.054)",AlloSure
0.49,"0.665 (0.615, 0.615)","0.885 (0.874, 0.874)","0.284 (0.216, 0.216)","0.901 (0.886, 0.886)","0.071 (0.055, 0.055)",AlloSure
0.5,"0.665 (0.615, 0.615)","0.886 (0.876, 0.876)","0.284 (0.216, 0.216)","0.902 (0.887, 0.887)","0.072 (0.056, 0.056)",AlloSure
0.51,"0.665 (0.615, 0.615)","0.887 (0.878, 0.878)","0.272 (0.216, 0.216)","0.903 (0.889, 0.889)","0.069 (0.056, 0.056)",AlloSure
0.52,"0.665 (0.615, 0.615)","0.889 (0.881, 0.881)","0.266 (0.189, 0.189)","0.905 (0.892, 0.892)","0.069 (0.050, 0.050)",AlloSure
0.53,"0.665 (0.615, 0.615)","0.891 (0.884, 0.884)","0.251 (0.189, 0.189)","0.908 (0.895, 0.895)","0.067 (0.051, 0.051)",AlloSure
0.54,"0.665 (0.615, 0.615)","0.892 (0.885, 0.885)","0.244 (0.189, 0.189)","0.909 (0.897, 0.897)","0.066 (0.052, 0.052)",AlloSure
0.55,"0.665 (0.615, 0.615)","0.894 (0.887, 0.887)","0.239 (0.162, 0.162)","0.912 (0.900, 0.900)","0.067 (0.046, 0.046)",AlloSure
0.56,"0.665 (0.615, 0.615)","0.896 (0.888, 0.888)","0.239 (0.162, 0.162)","0.913 (0.900, 0.900)","0.068 (0.047, 0.047)",AlloSure
0.5700000000000001,"0.665 (0.615, 0.615)","0.897 (0.890, 0.890)","0.239 (0.162, 0.162)","0.915 (0.902, 0.902)","0.069 (0.048, 0.048)",AlloSure
0.58,"0.665 (0.615, 0.615)","0.898 (0.892, 0.892)","0.239 (0.162, 0.162)","0.916 (0.904, 0.904)","0.070 (0.048, 0.048)",AlloSure
0.59,"0.665 (0.615, 0.615)","0.899 (0.892, 0.892)","0.235 (0.162, 0.162)","0.917 (0.907, 0.907)","0.070 (0.048, 0.048)",AlloSure
0.6,"0.665 (0.615, 0.615)","0.900 (0.894, 0.894)","0.235 (0.162, 0.162)","0.918 (0.908, 0.908)","0.071 (0.049, 0.049)",AlloSure
